Definição_da_Doença,Indices_ep,Prevenção,teste_rapido_diag,Consequências,Tratamento
"A sífilis é uma doença sexualmente transmissível, caracterizada pelo aparecimento de manchas vermelhas pelo corpo.","Em 2018, o Estado registrou o dobro de casos a mais que média nacional de sífilis adquirida; Florianópolis tem taxa elevada da doença entre jovens

Santa Catarina é o Estado brasileiro com mais casos de sífilis. Em 2018, foram registrados 164,1 casos a cada 100 mil habitantes, segundo levantamento divulgado pelo Ministério da Saúde. O texto aponta ainda que a Capital, Florianópolis, foi que mais notificou novos casos da doença entre as 16 pesquisadas pelo órgão.

O número assusta. Enquanto a média nacional é de 75,8 casos a cada 100 mil habitantes, o número de registros catarinense é quase o dobro. A tendência elevada acontece em Santa Catarina desde 2014 segundo a DIVE/SC (Diretoria de Vigilância Epistemológica).",Sua prevenção é feita por meio do uso de preservativos durante relações sexuais. ,A identificação da doença é feita por meio de um teste rápido disponível pelo SUS (Sistema Único de Saúde).,"Os sintomas costumam aparecer em três fases. Na primeira acontece o aparecimento de lesões nos órgãos genitais, seguida pelo aparecimento de manchas vermelhas, febre, mal-estar e linfonodos na segunda fase.

O perigo da sífilis está na fase terciária, quando a doença fica assintomática. Este é o período mais grave da infecção, que pode comprometer o sistema nervoso central e o cardiovascular. A evolução do quadro pode levar o paciente a morte.",o tratamento é iniciado com a aplicação de penicilina benzatina.
"sífilis é uma Infecção Sexualmente Transmissível (IST) curável e exclusiva do ser humano, causada pela bactéria Treponema pallidum","Em 2018, foram 1.713 casos, contra 1.422 em 2017. O Estado teve a 3ª maior taxa por 100 mil habitantes do Nordeste, com 49,2
Boletim Epidemiológico da Secretaria de Vigilância em Saúde, do Ministério da Saúde, que divulgou o relatório na última sexta-feira","A prevenção da doença pode ser feita com o uso correto e regular da camisinha, sendo a medida mais importante uso correto e regular da camisinha pré-natal","testagens rápidas, disponíveis no SUS feito por meio do teste rápido (TR), disponível nos serviços de saúde do SUS","Pode apresentar várias manifestações clínicas e diferentes estágios (sífilis primária, secundária, latente e terciária).Nos estágios primário e secundário da infecção, a possibilidade de transmissão é maior",com a penicilina benzatina
"Os dois especialistas destacam o aumento de casos de sífilis nos últimos anos, doença curável, causada por uma bactéria e transmitida por relação sexual sem camisinha com uma pessoa infectada ou para a criança durante a gestação ou parto.","Dados do Boletim Epidemiológico de Sífilis 2018, divulgado pelo Ministério da Saúde, mostram que a taxa de detecção de sífilis adquirida passou de 14,4 casos em 2012 para 58,1 em 2017 por 100 mil habitantes. Desde 2010 até junho de 2018 foram notificados 479.730 casos da doença. A infecção pelo vírus HIV e casos de aids também aumentaram nos últimos anos, aponta outro boletim epidemiológico. De 2007 até junho de 2018, foram notificados 247.795 casos de infecção. O documento aponta que, entre os homens, observou-se um incremento na taxa de detecção na faixa de 15 a 19 anos, passando de três para sete casos, por 100 mil habitantes, entre 2007 e 2017. A maior taxa em 2017 foi de 50,9 casos entre eles, na faixa de 25 a 29 anos.",as campanhas de prevenção se intensificam e os médicos reforçam a necessidade dos preservativos.,,,"Segundo ele, o fato de as ISTs terem tratamento faz com que as pessoas acreditem que, se forem infectadas, basta tratar, não sendo necessário o uso de preservativo."
"Infecção sexualmente transmissível (IST) exclusiva do ser humano, causada pela bactéria Treponema pallidum. A patologia tem diferentes estágios (primário, secundário, latente e terciário) e dois tipos: adquirida, quando é transmitida pelo sexo sem camisinha com uma pessoa infectada, e congênita, quando é passada para o bebê durante a gestação ou o parto."," de acordo com os últimos dados do Ministério da Saúde, a taxa de detecção da enfermidade do tipo adquirida passou de 44,1 casos/100.000 habitantes em 2016 para 58,1/100.000 habitantes em 2017. Quando se trata da congênita, no ano retrasado foram 21.183 registros e 195 mortes, e, no passado, 24.666 e 206, respectivamente.",a sífilis é prevenida com o uso regular de camisinha (feminina ou masculina) e acompanhamento das gestantes.,"o teste para diagnóstico da sífilis é simples e rápido, feito por meio de exame de sangue e/ou pela análise laboratorial de lesões na pele. Uma vez confirmada a doença, o tratamento é realizado apenas com penicilina - a dosagem é definida de acordo com o estágio.","assim como acontece com a hepatite C, esta doença praticamente não apresenta sintomas na fase primária. O que pode ocorrer é o surgimento de ferida no pênis, vulva, vagina, colo uterino ou ânus. Na maioria dos casos ela não coça, dói ou arde e se cura sozinha, fazendo com que o infectado não procure o médico.

Na etapa secundária, manchas pelo corpo, febre, mal-estar, dor de cabeça e ínguas são comuns. A latente, dividida entre recente (até 1 ano de infecção) e tardia (mais de 1 ano de infecção), é assintomática.

Já na terciária, os sinais surgem em um período variável de 2 a 40 anos do contágio e incluem lesões em diversos órgãos e tecidos, podendo ter como consequência demência, aneurisma da aorta e artrite, entre outras. No caso da sífilis congênita, os riscos são aborto, má formação do feto e surdez, cegueira, deficiência mental e até morte do bebê ao nascer.

",
"A sífilis é uma doença infectocontagiosa que está listada nas Doenças Sexualmente Transmissíveis (DSTs). Ela é causada por uma bactéria, a Treponema pallidum, e pode desenvolver-se em diferentes estágios.",,"A melhor forma de se proteger da sífilis é usando camisinha durante as relações sexuais.

No caso de gestantes infectadas, é necessário o acompanhamento delas e de seus parceiros durante o pré-natal, para controlar a sífilis congênita.

Prevenção a gente faz com informação.","É fácil e rápido saber se uma pessoa tem sífilis. É só ela fazer o teste rápido (TR) de sífilis, disponível gratuitamente nas unidades básicas de saúde do SUS. O resultado do teste sai em 30 minutos.

Quando um TR dá positivo, uma amostra de sangue é coletada e encaminhada para realização de um teste laboratorial para confirmação do diagnóstico.","Os sintomas da sífilis são variados e típicos do estágio em que a doença está. O site do Ministério da Saúde explica os sintomas de cada um deles:


Sífilis primária
Ferida, geralmente única, no local de entrada da bactéria (pênis, vulva, vagina, colo uterino, ânus, boca, ou outros locais da pele), que aparece entre 10 a 90 dias após o contágio. Essa lesão está repleta de bactérias.
Normalmente não dói, não coça, não arde e não tem pus, podendo estar acompanhada de ínguas (caroços) na virilha.
Sífilis secundária
Os sinais e sintomas aparecem entre seis semanas e seis meses do aparecimento e cicatrização da ferida inicial.
Pode ocorrer manchas no corpo, que geralmente não coçam, incluindo palmas das mãos e plantas dos pés. Essas lesões também são ricas em bactérias.
Pode ocorrer febre, mal-estar, dor de cabeça e ínguas pelo corpo.
Sífilis latente
Não aparecem sinais ou sintomas.
É dividida em sífilis latente recente (menos de dois anos de infecção) e sífilis latente tardia (mais de dois anos de infecção).
A duração é variável, podendo ser interrompida pelo surgimento de sinais e sintomas da forma secundária ou terciária.
Sífilis terciária
Pode surgir de dois a 40 anos depois do início da infecção.
Costuma apresentar sinais e sintomas, principalmente lesões cutâneas, ósseas, cardiovasculares e neurológicas, podendo levar à morte.
Mesmo com todos esses sinais, muitas pessoas desconhecem ter sífilis. Isso porque os sintomas aparecem e desaparecem, embora a infecção esteja no organismo. Quando não tratada, a sífilis pode levar a outras doenças e até a morte, por isso, é fundamental receber o diagnóstico da doença.","O tratamento da sífilis é feito com penicilina benzatina (benzetacil), cuja aplicação é feita na unidade básica de saúde mais próxima da residência do paciente. A penicilina tem sido a forma mais eficaz de combate à bactéria."
Sífilis é uma infecção sexualmente transmissível (IST),"A cidade de Salvador teve um aumento de 40% nos casos registrados de sífilis durante o ano de 2019. Em dados divulgados nesta quarta-feira, 11, pela Secretaria Municipal de Saúde (SMS), foram contabilizados 3.625 casos, contra 2.582 detectados em 2018.

Apesar da crescente na capital baiana, as estatísticas caíram quando comparadas com os registros no estado. Entre 2018 e 2019, a Bahia teve uma redução de 6,7% no número de casos de sífilis. Neste ano, durante os dias de Carnaval - 20 a 25 de fevereiro -, a secretaria do município diagnosticou um total de 59 casos.",pode ser previda através do uso de preservativos. ,,"Caso não seja tratada, a mesma pode chegar a levar até à morte. Quando ocorre a contaminação em mulheres gestantes, a doença pode ser transmitida ao bebê.

O principal sintoma da IST é o surgimento de uma ferida na região genital. Além disso, pode-se apresentar manchas e ínguas no corpo, febre, mal-estar e dor de cabeça.","O tratamento para a doença é simples, acessível, rápido e gratuito."
" Sífilis é uma doença infecciosa sistêmica, crônica. Ela se manifesta em diferentes estágios. A causadora da doença é a Treponema pallidum, uma bactéria espiralada altamente patogênica. A sífilis é uma infecção muito antiga e recebeu inúmeras denominações ao longo dos séculos.","Entre junho de 2010 e 2016 foram notificados quase 230 mil casos novos da doença, de acordo com o último boletim epidemiológico do governo.","A principal forma de prevenção é o uso de preservativos no ato sexual. Em relação à sífilis na gestante e à sífilis congênita, é importante o diagnóstico precoce. É necessário testar todas as mulheres que manifestarem o desejo de engravidar.",,"A doença também pode ficar disfarçada e causar o nascimento prematuro de bebês com baixo peso, com outros sintomas como coriza mista de sangue e ranho, sinais e sintomas ósseos, inchaço do fígado e do baço, pneumonia, edemas, fissuras nos orifícios, entre outros males, que podem resultar na morte da criança.",A penicilina G é a droga preferencial para o tratamento da sífilis em todos os estágios da doença.
"A sífilis é uma Infecção Sexualmente Transmissíveis (IST), causada por uma bactéria, que pode levar à morte se não for tratada. Além disso, se a pessoa infectada for uma gestante, a sífilis também pode ser transmitida para o bebê.","Salvador registrou 3.625 novos casos de sífilis durante o ano de 2019, um aumento de 40% dos diagnósticos em comparação a 2018, quando 2.582 casos foram detectados.",A medida de prevenção mais importante da sífilis é o uso correto e regular da camisinha.,,"O principal sintoma da sífilis costuma ser o aparecimento de uma ferida na área genital.A pessoa contaminada também pode apresentar manchas e ínguas no corpo, febre, mal-estar e dor de cabeça.","O tratamento para a doença é simples, acessível, rápido e gratuito."
"A sífilis é uma infecção transmitida por meio de relação sexual, causada por uma bactéria. A doença apresenta várias manifestações clínicas e diferentes estágios: sífilis primária, secundária, latente e terciária.",Foram registrados 3.244 casos de sífilis em gestantes, 3.722 casos do tipo sífilis adquirida e 1.685 casos de sífilis congênita no período de 2015 a 2019.,O acompanhamento das gestantes durante o pré-natal também previne a sífilis congênita,"O teste rápido de sífilis disponibilizado pelas unidades públicas de saúde e custeado pelo SUS é um método prático e de fácil execução, com leitura do resultado em, no máximo, 30 minutos, sem a necessidade de estrutura laboratorial. Esse teste é a principal forma de diagnóstico da sífilis.","Os sintomas das sífilis variam de acordo com cada estágio da infecção; geralmente apresentam ferida no local de entrada da bactéria (pênis, vulva, vagina, colo uterino, ânus, boca, ou outros locais da pele), que aparece entre 10 a 90 dias após o contágio."
"Causada pela bactéria Treponema pallidum, apresenta várias manifestações clínicas e diferentes fases.","A sífilis é o caso mais gritante: foram 158 mil notificações da doença em 2018, levando a uma taxa de 75,8 casos para cada 100 mil habitantes — em 2017, eram 59,1 casos/100 mil habitantes.","O uso correto e regular da camisinha feminina e/ou masculina é a medida mais importante de prevenção, e o acompanhamento das gestantes e das parcerias sexuais durante o pré-natal contribui para o controle da sífilis congênita.",,"costumam ocorrer lesões cutâneas, ósseas, cardiovasculares e neurológicas. Se não tratada, pode levar à morte.","A boa notícia é que a doença tem cura, com aplicação de penicilina benzatina (benzetacil)."
"A sífilis é provocada pela bactéria Treponema pallidum e transmitida sobretudo pela via sexual (pela lesão genital que causa), seja vaginal, anal ou oral.","No Brasil, a sífilis adquirida (ou seja, em adultos) teve aumento de 27,9% entre 2015 e 2016 (dados mais recentes disponíveis), segundo o Ministério da Saúde. Em 2016, foram registrados 87,593 mil casos em adultos. As infecções por sífilis congênita em bebês, passada de mãe para filho na gestação, cresceu 4,7%.",,porque a sífilis é facilmente detectada tendo o teste rápido,"a infecção pode perdurar anos e causar problemas sérios de saúde a longo prazo, como derrames, sintomas de demência, perda de coordenação, cegueira e males cardíacos. E, ainda que a sífilis possa ser tratada nesse estágio posterior, os danos causados por ela podem ser irreversíveis.",O tratamento consiste em antibiótico - penicilina benzatina para adultos e penicilina cristalina em bebês.
"A sífilis é uma doença infecciosa causada pela bactéria Treponema Pallidum. Ela pode ser transmitida de uma pessoa para outra durante a relação sexual sem camisinha, por transfusão de sangue contaminado ou da mãe infectada para o bebê durante a gestação ou o parto.",,Uma outra medida extremamente importante para a população para se proteger da sífilis é o uso da camisinha,"Quando não existem sinais ou sintomas, é necessário fazer um teste laboratorial ou teste rápido, disponibilizado gratuitamente pelo Ministério da Saúde em todo o território brasileiro. A nova tecnologia de testagem permite que os resultados sejam feitos em, no máximo, 30 minutos, sem a necessidade da estrutura de um laboratório.","Os primeiros sintomas são pequenas feridas nos órgãos sexuais e caroços nas virilhas, que surgem entre sete e 20 dias após a relação desprotegida com alguém infectado. As feridas não doem, não coçam, não ardem e não apresentam pus. Mas, se não forem tratadas podem se desenvolver e provocar manchas em várias partes do corpo e queda de cabelo.","Se você foi diagnosticado com sífilis, procure uma unidade de saúde próxima de casa, para indicar o tratamento mais adequado. "
"A sífilis é causada pela bactéria Treponema pallidum. Trata-se de uma doença infecciosa de contato que pode ser transmitida por relação sexual sem camisinha e por transfusão de sangue (sífilis adquirida), além de mãe para feto durante a gestação (sífilis congênita)","Um relatório do Ministério da Saúde divulgado recentemente indica que, entre 2010 e 2018, houve um aumento de 4.157% nos casos de sífilis no país. Em todo o mundo, de acordo com Organização Mundial da Saúde (OMS), diariamente ocorrem 1 milhão de novas infecções em todo o mundo.",,"Se desconfiar que tem alguma IST, procure um serviço de testagem; os resultados dos exames levam cerca de 30 minutos para ficarem prontos.","Quando não tratada, pode causar comprometimentos sérios do sistema nervoso central, com alterações neurológicas (quadros de demência), auditivas, oculares, cardíacas e ósseas.","A sífilis tem cura e o tratamento é feito por meio da aplicação de penicilina benzatina, que está disponível gratuitamente no Sistema Único de Saúde (SUS). "
"A Sífilis adquirida é a doença transmitida pela relação sexual, caso uma das pessoas da relação esteja infectada. Já a transmitida para bebês durante a gestação ou o parto é chamada sífilis congênita. ",,sua prevenção é o uso de preservativo masculino e feminino.,"O teste rápido dura menos de 30 minutos e o diagnóstico pode ser conhecido apenas com uma gota de sangue, através da punção digital.",,A doença tem cura caso o tratamento baseado na penicilina G benzatina seja seguido corretamente
infecção sexualmente transmissível (IST) causada por uma bactéria,"No ano passado, o Brasil registrou 158.051 casos de sífilis, o que representa 32% a mais do que o ano anterior, quando foram notificados 119.800 ocorrências, segundo o Ministério da Saúde.",,Trata-se de um exame simples de sangue. O resultado sai em 30 minutos.,"Caso não seja tratada, pode levar à morte.",
"A sífilis é uma Infecção Sexualmente Transmissível, que existe há muitos anos e até hoje é questão preocupante para a saúde pública. Tanto a sífilis adquirida, cuja transmissão é predominantemente sexual, como a sífilis na gestação com a transmissão da mãe para filho","O Paraná registrou no ano passado 88,8 casos de sífilis adquirida para cada 100 mil habitantes. No Brasil, foram 75,8 casos para 100 mil habitantes e, na região Sul, 123,7 para 100 mil habitantes.",podem ser evitadas com uso de preservativos,detecção por meio de teste rápido,,
A doença é uma Infecção Sexualmente Transmissível (IST) causada pela bactéria Treponema pallidum ,"No ano passado, foram registrados 158 mil casos de sífilis adquirida, o equivalente a 75,8 casos a cada 100 mil habitantes. Em 2017, o número era inferior, com 59,1 casos a cada 100 mil. Para este ano, dados preliminares sugerem que a tendência de crescimento deve prevalecer.",,o teste rápido de sífilis. O resultado sai em até 30 minutos.," pode avançar pelo organismo e provocar complicações mais graves como cegueira, paralisia, doença cerebral, problemas cardíacos ou, até mesmo, levar à morte",O tratamento da sífilis é realizado com penicilina
"A sífilis é uma doença infecciosa causada por uma bactéria, que assim como o HIV, pode ser transmitida de uma pessoa para outra durante a relação sexual, sem uso do preservativo, por transfusão de sangue contaminado ou de mãe infectada para o bebê durante a gestação ou o parto.","Conforme dados da Secretaria Municipal de Saúde, em 2012, foram registrados 57 casos de sífilis em adultos, 58 casos em gestantes e 40 casos de sífilis congênita, além de 83 casos de Aids. ",,"É fundamental que as pessoas façam o teste rápido. O diagnóstico permite que o paciente inicie seu tratamento, mantendo os cuidados necessários para que consiga viver com qualidade","Se não tratada, a sífilis pode causar danos irreversíveis, afetando órgãos fundamentais ao bom funcionamento do organismo, como o cérebro.",
"A Aids, sigla em inglês para síndrome da imunodeficiência adquirida, é uma doença causada pela infecção do vírus da imunodeficiência humana, o HIV na sigla em inglês.",,,"Caso você tenha tido algum comportamento de risco, como transar sem camisinha, procure uma unidade de saúde para fazer o teste anti-HIV. O diagnóstico é feito por meio da coleta de sangue ou saliva. No Brasil, há os exames laboratoriais e os testes rápidos, que detectam os anticorpos contra o HIV em cerca de 30 minutos.","Se não houver tratamento adequado e precoce, o indivíduo pode sofrer de hepatites virais, tuberculose, pneumonia, toxoplasmose e alguns tipos de câncer.","Para controlar a doença e prevenir a evolução para a Aids, pessoas soropositivas, ou seja, diagnosticadas com o HIV, devem se medicar com antirretrovirais. Esses remédios impedem a multiplicação do vírus no organismo e, consequentemente, o enfraquecimento do sistema imunológico. A adesão ao tratamento de forma correta é muito importante para que a infecção não se agrave."
"A sífilis é uma infecção causada por bactéria (treponema pallidum), transmitida por relação sexual com pessoa infectada, que é chamada de sífilis adquirida, ou ainda transmitida para crianças durante a gestação ou parto, chamada de sífilis congênita.",,"O uso do preservativo ainda é a alternativa mais eficaz e segura da prevenção das IST. Por isso, a estratégia de distribuição de camisinha em pontos de grande concentração de pessoas nesta época do ano é fundamental para sensibilizar a população sexualmente ativa para a prática de sexo seguro","O diagnóstico precoce também é considerado uma forma eficaz de controle, pois através dele é possível realizar o tratamento correto completo, que interrompe a cadeia de transmissão.","Quanto às manifestações clínicas, ela pode ser classificada como primária, secundária e terciária. Na sífilis primária, seu sinal é uma lesão indolor, geralmente localizada nos órgãos genitais, sem prurido e indolor, por isso pode passar sem ser percebida. Sem tratamento pode haver uma evolução para sífilis secundária, apresentando sintomas como erupções na pele. E, ainda, entre 15 a 25% dos casos, podem evoluir para sífilis terciária, com comprometimento neurológico e cardiológico.",
"A sífilis é uma Infecção Sexualmente Transmissível (IST) curável e exclusiva do ser humano, causada pela bactéria Treponema pallidum. Pode apresentar várias manifestações clínicas e diferentes estágios (sífilis primária, secundária, latente e terciária).",,O uso correto e regular da camisinha feminina e/ou masculina é a medida mais importante de prevenção da sífilis.,"Diagnóstico

O acompanhamento das gestantes e parcerias sexuais durante o pré-natal de qualidade contribui para o controle da sífilis congênita, que pode causar aborto, má formação do feto, morte ao nascer ou ainda ser transmitida à criança durante a gestação e pela amamentação.

Todas as pessoas sexualmente ativas devem fazer o teste para diagnosticar a sífilis. Na gestação deve ser realizado na primeira consulta de pré-natal, no terceiro trimestre e no momento do parto. No parto é importante o cuidado no caso da mãe infectada, já que pode causar cegueira, surdez e deficiência mental no bebê.

O teste rápido (TR) de sífilis está disponível nos serviços de saúde do SUS, sendo prático e de fácil execução, com leitura do resultado em, no máximo, 30 minutos, sem a necessidade de estrutura laboratorial. Esta é a principal forma de diagnóstico da sífilis. Nos casos de TR positivos (reagentes), uma amostra de sangue deverá ser coletada e encaminhada para realização de um teste laboratorial para confirmação do diagnóstico.",,"Tratamento

O tratamento prevê o uso da penicilina benzatina (benzetacil), que poderá ser aplicada na unidade básica de saúde mais próxima de sua residência. Esta é, até o momento, a principal e mais eficaz forma de combater a bactéria causadora da doença.

"
"A sífilis é uma doença sexualmente transmissível causada por uma bactéria chamada treponema pallidum, e pode demorar anos para se manifestar. ","No Distrito Federal, em 2017, houve um aumento de 8,7% nos casos de sífilis congênita, – a que passa da mãe para o bebê –, em relação ao ano anterior. São 3,7 novos casos por dia, de acordo com a Secretaria de Saúde do Distrito Federal.",,"O acesso ao diagnóstico é fácil e está disponível em qualquer unidade de saúde, sem nenhum custo e com rapidez, segundo o infectologista Alexandre Barbosa. O resultado do teste rápido fica pronto em 10 minutos. ","Na fase inicial, apresenta uma ferida indolor, que pode evoluir para machas avermelhadas na pele, chamados rashs cutâneos. Em casos mais graves, o vírus pode atingir o sistema nervoso, coração, ossos e até levar à morte. Em gestantes, o risco de transmissão é grande para bebês, nos quais pode provocar deformidades, surdez e até aborto.
","O tratamento também é rápido e feito com penicilina, o primeiro antibiótico surgido na humanidade."
"Sífilis é uma doença, causada por uma bactéria, que, se não tratada adequadamente, pode evoluir para formas graves, as quais podem até mesmo levar uma pessoa à morte.

A sífilis é uma infecção sexualmente transmissível, de evolução lenta e causada por uma bactéria chamada Treponema pallidum. Pode tornar-se bastante grave caso não haja o tratamento adequado, podendo atingir até mesmo o sistema nervoso. Vale destacar que não existe imunidade contra essa infecção, o que significa que uma pessoa pode pegar sífilis quantas vezes for exposta à bactéria.",,"Para prevenir-se da sífilis, é fundamental utilizar preservativo (camisinha feminina ou masculina) em todas as relações sexuais. O pré-natal adequado pode contribuir para evitar que a sífilis seja transmitida da mãe para o bebê.","A sífilis pode ser identificada por meio de exames laboratoriais, os quais podem ser exames diretos ou testes imunológicos, sendo esses últimos classificados em dois tipos: os não treponêmicos e os treponêmicos.

Os testes não treponêmicos, como o VDRL, detectam anticorpos que não são específicos para Treponema pallidum, enquanto os treponêmicos, como o FTA-Abs, detectam anticorpos específicos. Sozinhos os testes não treponêmicos não confirmam o diagnóstico de sífilis.

Atualmente está disponível no SUS um teste rápido que fornece o resultado em cerca de 30 minutos. Caso esse teste forneça um resultado positivo, uma amostra de sangue será coletada a fim de fazer-se o exame laboratorial.","A sífilis é uma doença que tem uma evolução caracterizada por períodos de atividade, quando é possível observar uma série de manifestações clínicas, e períodos de latência, quando sinais e sintomas não podem ser observados. A seguir, descreveremos os estágios da sífilis:

Sífilis primária
A sífilis primária dá-se pelo surgimento de uma lesão única denominada cancro duro ou protossifiloma. Geralmente a ferida aparece entre 10 a 90 dias após o contágio. Essa lesão surge no local onde a bactéria penetrou no organismo, como no pênis, vagina, ânus ou boca, e caracteriza-se por ter a base endurecida, apresentar uma secreção serosa e não causar dor.

Essa ferida é rica em bactérias e rapidamente desaparece do organismo sem deixar cicatrizes, o que leva a uma sensação de falsa cura. De uma maneira geral, essa lesão precisa, em média, de duas semanas para desaparecer completamente.

Sífilis secundária
A sífilis secundária surge após a primária, quando essa última não é tratada. Nessa fase o que se tem é o surgimento de varias erupções na pele, as quais não causam coceira. Essas lesões podem aparecer em diferentes partes do corpo, incluindo as mãos e os pés.

Além das erupções, a pessoa com sífilis pode ter dores de cabeça, mal-estar, febre e perceber a presença de ínguas pelo corpo.

Sífilis latente
A sífilis latente é um estágio assintomático da infecção, ou seja, que não apresenta manifestação clínica. A sífilis latente pode ser classificada em recente ou tardia. A primeira apresenta menos de um ano de evolução, enquanto a segunda apresenta mais de um ano de evolução.

Sífilis terciária
Essa fase da sífilis pode demorar até décadas para manifestar-se. É uma forma grave que atinge diferentes tecidos do corpo. Nela temos a sífilis cardiovascular e a neurossífilis, em que observamos o acometimento, respectivamente, dos sistemas cardiovascular e nervoso. Esse estágio da doença é grave e pode até mesmo levar uma pessoa à morte.","A sífilis é uma doença que tem cura, sendo o tratamento realizado com uso de penicilina, um tipo de antibiótico. Vale salientar que, sem tratamento adequado, essa infecção pode levar à morte."
"A sífilis é uma infecção sexualmente transmissível, causada por uma bactéria, e que tem cura. ","Aumenta cada vez mais o número de casos de sífilis no Brasil, uma doença sexualmente transmissível que proliferou na Idade Média e que, segundo uma lenda, foi a causa da morte de D. Pedro I. Semana que vem, o Ministério da Saúde lançar Boletim sobre a doença. Em 2018, o Brasil registrou 158.051 casos de sífilis: 32% a mais que em 2017, quando foram notificados 119.800 casos.","A melhor forma de prevenção da sífilis é o uso do preservativo, tanto masculino quanto feminino, que é fornecido gratuitamente pelo Sistema Único de Saúde (SUS). Além da relação sexual sem proteção, crianças podem adquirir sífilis durante a gestação ou parto. O acompanhamento das gestantes durante o pré-natal contribui para o controle da sífilis congênita.",O teste rápido é a principal forma de diagnóstico e pode ser realizado nas unidades de saúde dos municípios. O resultado sai em até 30 minutos.,"Os sintomas mais comuns são feridas na pele, principalmente na região dos órgãos genitais, e manchas no corpo, palmas das mãos e plantas dos pés. De acordo com informações do governo federal, uma pessoa pode ter sífilis e não saber, porque a doença pode aparecer e desaparecer, mas continuar no organismo e os sintomas podem aparecer até 40 anos após o primeiro contato com a bactéria",
"É uma Infecção Sexualmente Transmissível (IST) exclusiva do ser humano, que é transmitida em relações sexuais sem proteção com uma pessoa infectada. A sífilis tem 98% de chance cura e pode ser tratada em dias ou semanas.","De acordo com os dados mais recentes do Ministério da Saúde (MS), em 2017 foram notificados 119.800 casos de sífilis adquirida, 49.013 casos de sífilis em gestantes e 24.666 casos de sífilis congênita no Brasil. Em junho de 2019, a Organização Mundial da Saúde (OMS) informou que cerca de 6 milhões de novos casos globais são comunicados anualmente.
",distribuir preservativos,"Para o exame, é necessária a coleta de uma pequena amostra de sangue. O resultado é obtido em até 30 minutos e, caso o diagnóstico dê positivo, a pessoa é orientada e encaminhada para o tratamento.",,
uma doença sexualmente transmissível,"foram 697 casos ao longo de 2017, contra 560 em 2016
Em 2017, 10,6 mil catarinenses foram diagnosticados com a doença, percentual 25,9% superior ao registrado em 2016. No Brasil, dados de 2016 do Ministério da Saúde evidenciavam o crescimento dos índices. 

Naquele ano, comparado a 2015, foram registrados 42,5 casos para 100 mil habitantes, aumento de 26,8%. Os dados referente a 2017 ainda não foram divulgados. Também em 2016, SC superou a média nacional no número de casos de sífilis: 8.468 diagnósticos, 40% a mais do que o total de 2015, quando 5,9 mil homens e mulheres contraíram a doença.

Dos 697 casos de sífilis congênita registrados em Santa Catarina, a maior parte deles (28%) se concentra na região da Grande Florianópolis, conforme estatísticas da Dive SC. Ao todo, em 2017, foram 196 bebês que nasceram com a doença, que é transmitida pela mãe durante a gestação. A segunda região com maior número de diagnósticos positivos para a infecção no período é a Nordeste, que inclui Joinville, por exemplo. Por lá foram registrados 107 casos ao longo do ano passado, contra 89 em 2016. 

Em ambas as regiões as estatísticas são crescentes nos últimos anos. Para se ter ideia, enquanto na Grande Florianópolis, entre de 2014 e 2017, o salto no número de bebês que já nasceram com sífilis foi de 61,9%, na região Nordeste do Estado o percentual atingiu 189% de aumento – em 2014 foram registrados apenas 37 casos da doença. 
",,"O tratamento na rede publica é gratuito. O teste rápido, em até meia hora, diz se o paciente tem ou não sífilis

os testes rápidos que são sigilosos e gratuitos",má-formação ou até ao aborto do feto,"A penicilina é o tratamento mais rápido para a sífilis. A alternativa é tomar outro remédio, a doxiciclina"
,"De acordo com dados do DataSUS, em Diadema, os casos de sífilis em grávidas passaram de 130, em 2017, para 142, em 2018. Já a sífilis congênita, que é transmitida da mãe para o bebê durante a gestação, no mesmo período, passou de 27 para 31 casos. O aumento dos casos segue uma tendência nacional",o uso de preservativos e o acompanhamento das gestantes e seus parceiros sexuais contribuem para o controle e prevenção da doença,O diagnóstico e o tratamento para a doença também são realizados gratuitamente em todas as UBSs,"Sintomas como febre, dores musculares e de garganta, vermelhidão da pele poderiam passar despercebidos, mas uma ferida indolor na região da genitália, reto ou boca indicam um problema de saúde maior. A sífilis, se não tratada, evolui em três fases. A primeira apenas com uma ferida (cancro duro) que aparece e some em quatro semanas sem nenhum tratamento. A segunda etapa da doença aparece de quatro a seis semanas depois da primeira fase, como uma irritação de pele, que também some sem medicamento. A terceira ocorre de três a 12 anos ou mais tarde e pode resultar em danos para cérebro, nervos, olhos e coração.",tratamento é feito à base de penicilina e a quantidade de doses varia a cada caso e fase da doença
É uma Infecção Sexualmente Transmissível (IST) causada por uma bactéria A Treponema pallidum.,"O número de casos de sífilis têm crescido na Bahia. De acordo com a Secretaria de Saúde do Estado da Bahia (Sesab), em 2017, 7.414 pessoas adquiriram a doença, contra 1.880 em 2012. Um aumento de, aproximadamente, 395%.",camisinha,,"Variam de acordo com o estágio da doença. No primeiro, ocorre uma ferida indolor na genitália, no reto ou na boca. No segundo ocorre o desaparecimento de ferida, que dá lugar a uma irritação na pele. Depois, não há sintomas até a fase final, que pode ocorrer anos mais tarde, podendo resultar em danos para cérebro, nervos, olhos ou coração.","Benzetacil é o nome popular da penicilina benzatina

penicilina benzatina, por ser uma droga antiga e amplamente utilizada, e por ser mais específica e direcionada, torna o tratamento mais seguro e eficaz. Outras drogas, além de um maior custo, não são tão eficazes"
